city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Riga,57.0,24.0,0.002423412,0.0017302692,0.0028342109,0.0025786734,0.000854742,0.00019800212,2.058669e-08,0.00012793204,5.1177945,4.1086645,3.8353488,4.6973715,274.65768,281.11496,292.4357,283.1873,276.16873,284.84064,296.318,285.98862,272.9988,277.0453,288.03253,280.35614
Vaduz,47.25,9.5,0.005601816,0.004763776,0.00544984,0.0051890737,0.004005506,0.001967559,4.571007e-05,0.00092078594,1.500668,1.4060233,1.1981013,1.2725356,274.50153,281.28656,292.29645,283.37396,276.79022,285.25143,297.2785,286.61884,272.18478,277.3635,287.40094,280.5523
Vilnius,54.75,25.25,0.0022378163,0.002055873,0.0025548376,0.002151147,0.0009201227,0.0002343918,1.2523506e-08,0.00011358263,4.195791,3.5449238,3.2165542,3.8348038,273.84534,282.34686,293.1092,282.7365,275.2949,286.7848,298.12872,286.14407,272.18536,277.42807,287.4575,279.27658
Luxembourg,49.5,6.0,0.0034260603,0.002401745,0.002297089,0.0025739768,0.0002801455,6.353859e-05,1.055256e-08,4.1121406e-05,4.313299,3.5865448,3.1472316,3.5918784,277.61218,284.2369,293.95096,285.3918,280.50818,289.02423,299.6933,289.65363,274.76263,279.37634,288.12753,281.45685
Skopje,42.0,21.5,0.0013709879,0.0016744721,0.0015660838,0.0018197175,0.00049582653,0.00010432947,8.301612e-08,0.000115394985,1.6000614,1.6907886,1.619641,1.4982315,275.1078,284.92023,296.57248,287.06,278.8888,290.52725,303.56732,292.75095,271.46878,279.2779,289.5207,281.84088
Valletta,36.0,14.5,0.0019348108,0.0008582909,0.00019268328,0.0018591464,1.0035724e-06,2.271281e-08,1.3268602e-09,5.8061067e-09,7.1694217,5.8610544,4.0387583,5.242343,288.9718,290.74152,300.2563,297.15305,289.7114,291.48416,301.19617,297.90533,288.23026,290.00516,299.39447,296.37375
Chisinau,47.0,28.75,0.0013939235,0.0016381647,0.0017586425,0.0016451791,0.0006626821,0.00014925978,1.5373667e-08,0.00016903666,3.1921563,3.0475178,2.7933989,3.0020957,275.00977,285.4694,297.66052,286.85117,277.47336,290.3455,303.1842,291.3778,272.33926,280.43808,291.7884,282.51282
Monaco,43.75,7.5,0.0029171056,0.0019251767,0.0008602772,0.0042592823,0.0004180893,0.00010795009,5.35534e-09,7.902377e-05,1.7060585,1.5871917,1.2667575,1.4246273,281.65244,286.8216,297.112,289.93057,285.35876,290.38177,300.72363,293.48273,278.8643,283.15897,292.94943,287.04257
Podgorica,42.5,19.25,0.0056981025,0.0043140445,0.0019564508,0.00660621,0.0011484713,0.00037006655,2.5746863e-07,0.00017278049,1.9247556,1.6852913,1.4636834,1.6458161,277.0778,284.8698,296.87408,287.7912,280.32812,289.51874,302.81573,292.6917,273.92078,280.01785,290.7296,283.28836
Amsterdam,52.25,5.0,0.0034124688,0.002249576,0.002678364,0.003031124,9.257942e-05,2.1069094e-05,1.907957e-09,1.572014e-05,5.711284,4.6592765,3.878999,4.5647426,278.76248,283.86676,291.60895,285.5987,281.25403,288.02374,296.05374,289.09174,276.213,279.46542,286.61798,282.20276
Oslo,60.0,10.75,0.0034528316,0.0027252785,0.00318825,0.0037456187,0.0022803429,0.00070180884,2.2467066e-07,0.00033100107,2.580633,2.4357953,2.3446074,2.5725474,272.59314,279.2307,290.25742,280.70746,274.47607,283.41626,295.09525,283.65005,270.40506,274.7097,284.98196,277.7245
Warsaw,52.25,21.0,0.0020335328,0.0017460736,0.0022312081,0.0016277789,0.0006230288,0.000116034294,1.6845622e-08,0.00013881676,3.6931074,3.119817,2.8820198,3.3346698,276.16565,284.03845,294.03232,284.70633,278.3179,288.82562,299.32544,288.63632,273.8324,278.87936,288.2705,280.83768
Lisbon,38.75,-9.25,0.002118655,0.0009335217,0.00026579303,0.0020122465,8.279202e-09,4.404618e-09,0.0,0.0,4.112696,4.4159646,4.6687627,3.9284508,286.42395,290.02664,297.28247,292.77295,290.33347,295.09,303.1301,297.43597,283.05887,285.63828,292.64285,289.20306
Bucharest,44.5,26.0,0.0020601032,0.0018157935,0.0022080163,0.0015157086,0.0007068671,8.561985e-05,2.1507017e-08,7.7554265e-05,2.7541914,2.664203,2.2355278,2.4555209,276.1854,287.03485,299.00256,288.50055,279.83142,293.39072,306.14505,294.61478,272.69626,280.6527,291.83063,282.8765
Moscow,55.75,37.5,0.0021239615,0.0014844291,0.002535856,0.002175745,0.0015211914,0.0003033636,1.9568104e-06,0.00037001396,3.96793,3.3046565,2.847984,3.6539128,270.50525,281.7774,293.90427,280.9589,272.41818,286.04526,298.67392,284.07,268.24478,276.7851,288.4666,277.65094
