city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Berlin,52.524368,13.41053,14.233333333333333,4.7,0.0018233582,0.0015795033,0.0022505939,0.0015803201,0.0002854838,4.3439413e-05,1.3468962e-08,4.5328627e-05,3.7989929,3.264259,2.9701078,3.5980809,275.9453,283.64786,292.69647,284.33307,278.4136,288.42526,297.8495,288.0988,273.3464,278.71472,287.37466,280.74954,5.0671997,9.710541,10.474823,7.349243
Bern,46.94809,7.44744,3.933333333333333,2.066666666666667,0.0038817255,0.0037826968,0.0042541088,0.0036836937,0.0016610087,0.00083811383,5.0087216e-05,0.00047882128,1.8871267,1.731743,1.506466,1.6058146,274.5411,281.73453,290.67197,282.91516,277.24982,286.2385,295.85825,286.91885,271.97455,277.3616,285.58914,279.39615,5.2752686,8.876892,10.269104,7.522705
Besançon,47.248779,6.01815,15.566666666666666,5.333333333333333,0.0034751245,0.0031573884,0.0030497222,0.0035477444,0.00047180042,0.00013067495,2.2819463e-06,7.385318e-05,3.2199502,2.812131,2.3991044,2.7223082,276.46054,283.7594,292.61926,284.8939,279.4247,288.67642,298.2304,289.3727,273.64392,278.92438,287.07712,280.9112,5.780792,9.752045,11.15329,8.461517
Bielefeld,52.033329,8.53333,7.7,2.7666666666666666,0.0028925305,0.0021002006,0.0027306196,0.0026024282,0.00031507024,5.0544215e-05,1.3791922e-08,3.7255984e-05,4.036387,3.3800611,3.0498626,3.6766558,276.45605,282.96924,291.14734,284.09344,278.81177,287.49506,296.047,287.75345,273.99777,278.3063,286.1537,280.6669,4.8139954,9.188751,9.893311,7.086548
Bilbao,43.262711,-2.92528,14.633333333333333,4.533333333333333,0.0039328276,0.0030998162,0.0017042621,0.0034521867,8.9621644e-05,3.8122536e-05,4.790922e-07,2.1906053e-05,3.0797231,2.6606221,2.1963503,2.5412927,281.23862,284.9866,292.4771,288.39212,285.35294,290.02707,298.22324,293.666,277.36447,279.85904,286.92813,283.66498,7.9884644,10.16803,11.295105,10.001007
Birmingham,52.481419,-1.89983,1.6333333333333333,1.1333333333333333,0.0023985514,0.0018603248,0.0020605652,0.002459518,0.00025376133,4.028685e-05,8.7399235e-09,8.751365e-06,4.635094,4.0284147,3.584445,4.247098,277.92123,282.31183,289.64255,284.13574,280.75375,286.58905,294.58344,287.8717,274.97333,277.95438,284.55847,280.51367,5.780426,8.634674,10.024963,7.358032
Blackpool,53.816669,-3.05,0.03333333333333333,0.03333333333333333,0.004196101,0.0024572702,0.0026585201,0.0041202316,0.00039012748,7.160901e-05,1.1271683e-08,2.9088542e-05,5.372388,4.46162,3.9760656,5.0315943,277.76892,281.6073,288.52722,283.65082,280.3512,285.3151,292.4163,286.74176,275.04837,277.68198,284.31946,280.50397,5.302826,7.6331177,8.096832,6.237793
Bochum,51.481651,7.21648,8.433333333333334,3.0,0.003408617,0.0023512936,0.0029736657,0.0029849012,0.0003770109,6.29149e-05,1.23098856e-08,4.4132867e-05,4.190038,3.467033,3.089277,3.751012,277.45206,283.72992,291.79443,284.97992,279.7833,288.00098,296.44662,288.46228,275.07156,279.3393,287.09003,281.74445,4.711731,8.661682,9.356598,6.7178345
Bologna,44.493809,11.33875,42.766666666666666,16.466666666666665,0.0019190866,0.002021446,0.0017416584,0.002657681,0.00041553937,8.795326e-05,1.9297507e-07,0.00018536014,2.0191832,2.2332594,1.9996431,2.0124216,277.71368,286.23074,297.0534,287.89603,281.10764,290.90292,302.2694,292.13535,274.84106,281.7061,291.9396,284.1771,6.266571,9.196838,10.329803,7.958252
Bonn,50.734379,7.09548,10.233333333333333,3.7,0.0025334402,0.0020617677,0.0025891094,0.00231433,0.0003213792,5.791788e-05,1.5523508e-08,4.2564872e-05,3.969702,3.2659445,2.85997,3.5346084,277.0773,283.73163,292.0093,284.8705,279.57257,288.2586,296.97964,288.668,274.56216,279.11655,287.00616,281.39557,5.0104065,9.142059,9.97348,7.2724304
Bordeaux,44.840439,-0.5805,32.03333333333333,9.033333333333333,0.0028809737,0.0024866958,0.0016496131,0.0025520737,1.4309363e-05,5.4397265e-06,5.931376e-09,2.900473e-07,3.125926,3.0378306,2.6594422,2.7549126,280.77274,286.07666,294.29926,288.49197,284.66446,291.28015,299.9425,293.73282,277.23993,280.98148,288.6442,283.9118,7.42453,10.298676,11.298309,9.821014
Bournemouth,50.720482,-1.8795,0.5666666666666667,0.43333333333333335,0.0030608794,0.0019628343,0.0015986598,0.0029802993,7.531932e-05,1.0783664e-05,4.4552048e-10,3.3025995e-06,5.2360964,4.3804483,3.9257352,4.6895585,279.07285,282.76135,290.0269,285.17828,281.9127,286.76968,294.49326,288.79797,275.97116,278.61136,285.37894,281.52985,5.9415283,8.158325,9.114319,7.2681274
Bradford,53.793911,-1.75206,0.5333333333333333,0.4666666666666667,0.0035445855,0.0023103687,0.0025081981,0.0031693021,0.00076145434,0.0001764235,1.1410462e-08,6.1115716e-05,4.8624063,4.1907773,3.7333856,4.4988117,277.3732,281.42752,288.62933,283.5014,279.85538,285.1522,292.85956,286.62936,274.84128,277.63086,284.223,280.46243,5.014099,7.521332,8.636566,6.166931
Braga,41.55032,-8.42005,18.733333333333334,7.266666666666667,0.0056772563,0.0033477983,0.0010465479,0.0039241994,1.4196e-05,3.4484028e-06,3.2468546e-09,5.71297e-07,2.9612863,2.846326,2.8080106,2.4187934,282.44858,286.4899,293.15054,289.00076,286.8541,291.65637,299.07608,294.35852,278.64615,281.52454,287.39398,284.53854,8.207947,10.131836,11.682098,9.819977
Bratislava,48.148159,17.106741,29.733333333333334,8.933333333333334,0.0014282693,0.0017377072,0.0024803388,0.0018077638,0.00039045082,7.4922784e-05,3.270789e-08,0.00010662803,3.3925626,3.3320975,3.0182137,3.165684,275.49167,284.6834,295.00394,284.92365,278.1356,289.5746,300.43683,289.2424,272.856,279.66534,289.48065,280.8839,5.279602,9.909241,10.956177,8.35849
Braunschweig,52.265942,10.52673,7.7,2.9,0.0021735525,0.0018619505,0.0025692708,0.0020319517,0.00026140697,4.1397652e-05,1.6485142e-08,4.1115563e-05,3.8216233,3.2145185,2.942105,3.5350564,276.3256,282.8413,291.383,284.0299,278.81003,287.362,296.0737,287.67102,273.7018,278.18292,286.58514,280.59723,5.1082153,9.179077,9.488556,7.0737915
Braşov,45.648609,25.606131,12.0,4.566666666666666,0.0016876064,0.0025084368,0.0032071578,0.0016113349,0.0011983673,0.00046408677,1.8103952e-06,0.00034834648,1.9024873,1.9205829,1.6016272,1.7006468,272.4303,281.35123,292.29477,282.40512,276.7512,287.11005,298.80478,288.42264,268.18182,275.47754,285.7824,276.98083,8.569366,11.632507,13.022369,11.441803
Breda,51.586559,4.77596,6.166666666666667,2.6333333333333333,0.0027922683,0.0019278118,0.0024784326,0.002542933,0.00016082803,1.8732677e-05,1.1387937e-08,8.383951e-06,4.5018263,3.7605166,3.3887634,3.967715,278.1104,283.5358,291.34555,284.96902,280.8469,288.0866,296.19232,288.9213,275.32153,278.76312,286.24316,281.22614,5.52536,9.323486,9.949158,7.69516
Bremen,53.075161,8.80777,6.733333333333333,2.6666666666666665,0.0026304824,0.0018574751,0.0027501695,0.0024115809,0.00027375002,2.7662283e-05,1.7235717e-08,3.1111784e-05,3.922057,3.3984106,3.1210005,3.664389,276.67096,282.92587,291.12415,284.2702,279.10455,287.52127,296.0885,287.9757,274.11685,278.23288,286.08545,280.75925,4.9877014,9.288391,10.003052,7.216461
Brescia,45.52478,10.22727,17.0,6.166666666666667,0.0019409208,0.0029193906,0.002988636,0.003457355,0.00062191515,0.0002824992,8.411906e-07,0.00028092848,1.402255,1.5001562,1.3734314,1.3854536,275.53156,284.46127,294.87167,285.64786,279.1989,289.17902,299.84833,289.87488,272.3566,279.68414,289.93295,281.81293,6.8423157,9.494873,9.915375,8.061951
Brest,48.400002,-4.48333,0.36666666666666664,0.36666666666666664,0.0040609706,0.002605534,0.001513992,0.0030537401,3.762156e-05,3.927756e-06,3.4919678e-09,4.7116105e-06,6.104895,5.1699343,4.4066224,5.1405363,280.95828,283.64636,290.20624,286.6966,283.3136,286.9972,293.89713,289.77988,278.4208,280.23666,286.52216,283.69043,4.8927917,6.7605286,7.3749695,6.089447
Brighton,50.828381,-0.13947,1.3,0.9333333333333333,0.0025708987,0.0016972604,0.0016335958,0.0026383584,0.00016325344,1.5932615e-05,1.7582789e-09,8.944108e-06,4.892054,4.18621,3.7372274,4.391398,278.8477,282.92786,290.31165,285.38986,281.4785,286.8543,294.588,288.939,276.02954,278.85403,285.83093,281.83926,5.448944,8.000275,8.75708,7.0997314
