city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Podgorica,42.5,19.25,0.0012525788,0.0002884141,7.947286e-08,0.0005983052,275.84128,282.83792,293.3445,285.27573,278.71716,272.44128,289.19708,275.9621,296.4098,290.09476,292.2077,277.27267,0.0042825486,0.004562258,0.0031131392,0.008208882,1.9478217,1.8547338,1.6224782,1.7903101
Pristina,42.75,21.25,0.00089000067,0.000105183215,0.0,0.0006561491,273.79623,282.84558,293.1782,283.92883,277.98425,270.2412,289.06735,274.44128,296.6027,290.84238,292.97507,275.5715,0.001579493,0.0024401278,0.0016431314,0.0017560924,2.1693442,2.3123436,1.971404,2.0751898
Pristina,42.75,21.25,0.00089000067,0.000105183215,0.0,0.0006561491,273.79623,282.84558,293.1782,283.92883,277.98425,270.2412,289.06735,274.44128,296.6027,290.84238,292.97507,275.5715,0.001579493,0.0024401278,0.0016431314,0.0017560924,2.1693442,2.3123436,1.971404,2.0751898
Sofia,42.75,23.25,0.00093045237,0.00013689377,3.532127e-09,0.0006439341,272.45316,281.89664,292.10205,282.85657,276.99078,269.0385,289.017,272.2579,294.75656,289.90662,292.67038,273.8495,0.0014926946,0.002681273,0.0017837808,0.0016435094,2.0043302,2.1524732,1.8428006,1.9347554
Sofia,42.75,23.25,0.00093045237,0.00013689377,3.532127e-09,0.0006439341,272.45316,281.89664,292.10205,282.85657,276.99078,269.0385,289.017,272.2579,294.75656,289.90662,292.67038,273.8495,0.0014926946,0.002681273,0.0017837808,0.0016435094,2.0043302,2.1524732,1.8428006,1.9347554
Monaco,43.75,7.5,0.00035307495,8.118064e-05,8.477105e-08,0.00019327093,280.19778,284.80728,293.4186,287.31357,283.28293,277.8384,289.16388,280.60992,295.9308,289.8901,292.7629,281.88495,0.0017018389,0.002610927,0.0020133408,0.0030341607,3.3956063,2.998765,2.4888556,3.1970484
Monaco,43.75,7.5,0.00035307495,8.118064e-05,8.477105e-08,0.00019327093,280.19778,284.80728,293.4186,287.31357,283.28293,277.8384,289.16388,280.60992,295.9308,289.8901,292.7629,281.88495,0.0017018389,0.002610927,0.0020133408,0.0030341607,3.3956063,2.998765,2.4888556,3.1970484
Sarajevo,43.75,18.5,0.001693918,0.0004635237,1.5779776e-06,0.00114124,271.99847,280.07242,289.96384,281.67886,276.6577,268.16037,286.76956,271.52307,293.12094,287.59845,289.48767,273.56824,0.0024893233,0.003610505,0.0027776014,0.0035441292,1.8943875,2.0541134,1.6763953,1.832087
Sarajevo,43.75,18.5,0.001693918,0.0004635237,1.5779776e-06,0.00114124,271.99847,280.07242,289.96384,281.67886,276.6577,268.16037,286.76956,271.52307,293.12094,287.59845,289.48767,273.56824,0.0024893233,0.003610505,0.0027776014,0.0035441292,1.8943875,2.0541134,1.6763953,1.832087
San Marino,44.0,12.5,0.00025190247,1.7535243e-05,0.0,0.00014512715,279.2526,285.8381,296.00018,288.16156,281.78793,276.94348,291.85593,280.1329,298.81546,292.49124,294.1746,281.9511,0.0016198971,0.0023036674,0.0016228571,0.00308627,3.123177,3.1112387,2.7304645,3.0164902
San Marino,44.0,12.5,0.00025190247,1.7535243e-05,0.0,0.00014512715,279.2526,285.8381,296.00018,288.16156,281.78793,276.94348,291.85593,280.1329,298.81546,292.49124,294.1746,281.9511,0.0016198971,0.0023036674,0.0016228571,0.00308627,3.123177,3.1112387,2.7304645,3.0164902
