city,latitude,longitude,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Bielefeld,52.033329,8.53333,278.10303,273.85977,4.2432556,286.6541,278.30536,8.348755,295.46033,286.16336,9.296967,286.90076,280.44366,6.4570923,6.709677419354839,3.161290322580645
Bilbao,43.262711,-2.92528,284.3682,279.6226,4.7456055,288.00787,282.34927,5.6586,294.73657,288.9124,5.8241577,290.93652,285.4708,5.4657288,0.9032258064516129,0.5806451612903226
Birmingham,52.481419,-1.89983,280.52435,275.84415,4.6802063,285.908,278.52985,7.3781433,293.16663,285.227,7.939636,287.08398,281.005,6.0789795,0.7096774193548387,0.45161290322580644
Blackpool,53.816669,-3.05,280.40442,277.72964,2.6747742,283.6023,279.93063,3.6716614,289.92175,286.51227,3.4094849,286.18073,283.17856,3.0021667,0.0,0.0
Bochum,51.481651,7.21648,278.52267,274.23596,4.2867126,286.9306,278.77933,8.151276,295.37363,286.47943,8.894196,287.0833,280.8245,6.2588196,6.193548387096774,2.903225806451613
Bologna,44.493809,11.33875,281.6184,274.97238,6.6460266,291.3189,282.22693,9.09198,302.4539,292.2224,10.231476,292.04886,284.26083,7.788025,45.67741935483871,13.387096774193548
Bonn,50.734379,7.09548,278.2131,274.00842,4.2046814,286.74646,278.6886,8.057861,295.30035,286.46033,8.840027,286.8052,280.66144,6.1437683,6.0,2.806451612903226
Bordeaux,44.840439,-0.5805,283.98956,277.53986,6.449707,290.97354,281.89554,9.078003,299.21072,289.19626,10.014465,292.38223,283.88324,8.498993,20.870967741935484,5.387096774193548
Bournemouth,50.720482,-1.8795,281.60712,278.19217,3.4149475,285.08356,280.3657,4.717865,291.84296,286.92184,4.921112,287.7584,283.71167,4.0467224,0.0,0.0
Bradford,53.793911,-1.75206,279.46634,275.20865,4.2576904,284.51163,277.66296,6.8486633,291.33847,284.2458,7.092682,285.7353,280.26508,5.470215,0.12903225806451613,0.12903225806451613
Braga,41.55032,-8.42005,285.1798,278.61847,6.5613403,289.8851,281.8883,7.9967957,296.90057,287.79047,9.110107,291.69675,284.29944,7.3973083,6.419354838709677,2.7419354838709675
Bratislava,48.148159,17.106741,277.21365,272.0825,5.1311646,289.0429,279.67435,9.368561,299.38855,289.02753,10.361023,288.22296,280.85464,7.3683167,21.70967741935484,7.258064516129032
Braunschweig,52.265942,10.52673,277.29105,273.0264,4.2646484,286.3346,277.85764,8.476959,295.54156,286.0547,9.486877,286.4586,279.97476,6.4838257,6.064516129032258,2.6129032258064515
Braşov,45.648609,25.606131,274.33282,267.82755,6.5052795,285.45963,275.86288,9.596741,296.04996,285.3805,10.669464,286.11243,277.06055,9.05188,2.3870967741935485,1.4516129032258065
Breda,51.586559,4.77596,279.6401,275.34238,4.2977295,287.05624,279.25317,7.80307,294.94073,286.59793,8.342804,287.75406,281.5941,6.159973,4.129032258064516,2.193548387096774
Bremen,53.075161,8.80777,278.08856,274.088,4.0005493,286.31955,278.34064,7.9789124,294.93256,286.239,8.6935425,286.74725,280.64484,6.102417,4.096774193548387,2.129032258064516
Brescia,45.52478,10.22727,280.17355,273.9176,6.255951,289.75803,281.09637,8.661652,299.75125,291.24426,8.506989,289.84207,283.5594,6.2826843,15.419354838709678,6.612903225806452
Brest,48.400002,-4.48333,283.3457,281.16367,2.1820374,285.0767,282.66043,2.4162598,290.2939,287.95956,2.3343506,288.046,285.82648,2.219513,0.0,0.0
Brighton,50.828381,-0.13947,281.33038,278.11618,3.214203,284.80014,280.47894,4.3211975,291.67447,287.17728,4.4971924,287.73764,283.90314,3.8345032,0.0,0.0
Bristol,51.455231,-2.59665,281.11014,276.39465,4.7154846,286.0295,279.02396,7.005554,293.0014,285.59985,7.4015503,287.527,281.54034,5.986664,0.5161290322580645,0.41935483870967744
