city,latitude,longitude,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn
Brest,48.400002,-4.48333,0.0032929927,0.0030638843,0.0017533762,0.0028161444,5.083906e-05,9.718312e-06,4.9057105e-09,6.4301785e-06,5.8396015,5.591117,4.4714046,4.852204,280.09445,283.12985,290.30353,286.8023,282.46146,286.45096,293.95618,289.877,277.57736,279.71283,286.63464,283.84137
Brighton,50.828381,-0.13947,0.0021158832,0.002115668,0.0017081791,0.002311315,0.00014256676,2.7826274e-05,3.1035636e-09,1.5768943e-05,4.7288575,4.496427,3.777385,4.238186,277.94595,282.2425,290.51645,285.65167,280.52972,286.0499,294.83783,289.0949,275.1904,278.32474,286.03912,282.0975
Bristol,51.455231,-2.59665,0.0024125746,0.0027294843,0.001964509,0.002457311,0.00012224236,8.499819e-05,4.018795e-09,1.16432475e-05,4.392786,4.3737574,3.647575,4.0258536,277.66995,281.8117,290.10626,284.81656,280.41486,285.7968,294.65106,288.30096,274.75168,277.7333,285.37964,281.2152
Brno,49.195221,16.60796,0.0013234545,0.0017029882,0.0026434213,0.0015764342,0.00061397697,0.00010910201,1.6537745e-08,6.930644e-05,3.3956397,3.2661357,2.9033763,3.119418,273.14777,282.83978,293.0295,283.7435,275.4159,287.43,298.4616,287.65216,270.7176,277.98233,287.41788,280.00473
Brugge,51.20892,3.22424,0.002736109,0.0023765878,0.0024886644,0.0026426248,0.00013713221,4.5826608e-05,6.3896595e-09,2.6657228e-06,5.136408,4.6605186,4.0099907,4.5707836,277.1776,282.6537,291.29605,285.91644,279.4452,286.08987,295.2111,289.01532,274.88,279.13162,287.1262,282.91052
Brussels,50.850449,4.34878,0.0024390467,0.0024323913,0.0025868902,0.0022393824,0.00020427913,5.643294e-05,1.2174101e-08,2.5922564e-05,4.3062854,3.9629054,3.3879058,3.8591619,276.7887,283.11374,291.9897,285.47354,279.4238,287.3968,297.01395,289.23172,274.14984,278.6957,286.78845,281.89804
Bucharest,44.432251,26.10626,0.002619058,0.0021636554,0.0022458981,0.0016627951,0.0013578829,0.00021083781,1.2396183e-08,8.525721e-05,2.7224305,2.7429988,2.2059953,2.3444762,273.722,284.77728,296.79816,286.07083,277.1613,290.45963,303.55167,291.92548,270.15173,279.02325,289.9413,280.59006
Budapest,47.498009,19.039909,0.0012938711,0.0017192544,0.0022438583,0.0016951317,0.00043454758,6.091626e-05,1.2084842e-08,4.460072e-05,2.8036828,2.8621807,2.603178,2.6508625,273.16147,284.0826,294.60773,284.86823,276.53204,289.54852,300.99545,290.1503,269.58932,278.29398,287.8935,279.9029
Burgos,42.349998,-3.7,0.002434566,0.0022647309,0.0009858526,0.0015903038,0.00062237773,0.00014149546,1.6383771e-07,5.3214964e-05,3.1055365,3.3409562,2.6493573,2.7110467,276.648,282.3979,292.1264,285.72003,280.53992,287.7846,299.67715,291.95123,272.90433,277.02774,285.0404,280.07513
Bydgoszcz,53.123501,18.00762,0.0013807784,0.0014093408,0.002457506,0.0013370563,0.0005506896,0.00014122593,1.3768897e-08,9.74812e-05,3.6962202,3.257585,3.1151001,3.5782382,274.01923,282.02786,291.84717,283.3103,276.16083,286.25873,296.7635,286.84686,271.6156,277.40732,286.54013,279.7649
Cagliari,39.207378,9.13462,0.0029431058,0.0015044714,0.00025968842,0.0024168028,3.3944296e-05,4.1590006e-08,2.7750696e-10,3.5364494e-08,3.3740003,3.4823081,2.7080717,2.6980014,283.0927,287.24075,297.9066,292.1187,286.99695,291.66483,302.77167,296.2778,279.62204,283.12885,293.10788,288.4714
Cambridge,52.200001,0.11667,0.0014894218,0.0018369816,0.001870174,0.0015651671,0.000115195566,4.1511877e-05,7.634954e-09,1.2101201e-05,4.730416,4.4929867,3.7463856,4.2904167,277.29065,281.92297,290.148,284.91278,280.08746,286.24554,295.2479,288.71875,274.4029,277.6053,284.993,281.06744
Cardiff,51.48,-3.18,0.003004761,0.0030895073,0.0022231971,0.0030070192,0.00017346929,0.00014004373,3.8448165e-09,1.322943e-05,4.488587,4.4349165,3.7152474,4.1187625,277.78616,281.68228,289.8039,284.79184,280.4697,285.52692,294.1855,288.1972,274.92792,277.725,285.2178,281.27814
Cartagena,37.605122,-0.98623,0.0013745932,0.000775759,0.00016886959,0.0015002846,2.382577e-06,1.1934711e-06,5.379503e-10,8.4053625e-07,4.2823234,4.330935,3.6631782,3.93713,285.33688,289.2431,298.08286,293.19727,288.72693,292.64496,301.31244,296.48114,282.5072,285.80365,294.72028,290.315
Catania,37.502129,15.08719,0.0024997988,0.0010796626,0.00024703355,0.002028249,7.7110955e-05,5.7104357e-06,2.1008795e-10,7.1183223e-07,2.3699112,2.4104931,1.7018039,1.8028529,283.59143,287.7815,298.42303,292.4085,286.23572,290.97614,302.0543,295.3429,281.20676,284.7006,294.70697,289.84863
Chemnitz,50.833328,12.91667,0.002082566,0.0021875987,0.002829029,0.0018546891,0.00079139345,0.00024515734,2.1761606e-08,0.00010574252,3.7967446,3.198178,2.9068441,3.3762047,273.90515,282.34448,292.21606,283.7351,276.28296,286.97748,297.66235,287.75122,271.41934,277.61685,286.5534,279.97552
Chişinău,47.005562,28.8575,0.0014295458,0.0016789779,0.0020548003,0.0014017011,0.00081372727,0.00024089466,7.2803537e-09,0.00010931855,3.3056624,3.0961337,2.757119,2.976851,272.20477,283.20325,295.93738,284.68036,274.73615,287.48724,301.16147,289.02026,269.2982,278.6389,290.42755,280.331
Clermont-Ferrand,45.779659,3.08628,0.0022069216,0.0031648888,0.002602214,0.0023305316,0.0004023918,0.00017299059,1.4142084e-08,7.279226e-05,2.9239938,3.1418397,2.3654127,2.6529503,274.69632,281.70093,291.5171,284.35284,278.61755,286.9437,297.76828,289.6924,271.15402,276.46173,285.0916,279.55295
Cluj-Napoca,46.76667,23.6,0.001571253,0.0024892867,0.0028671455,0.0014916307,0.0009144355,0.00033512694,5.7124925e-08,0.00017236911,2.010851,2.1856875,1.9284462,1.8952305,270.90402,281.67563,292.30038,282.90054,274.5332,286.7929,298.24902,288.55566,266.99777,276.25018,286.19736,277.78516
Coimbra,40.205639,-8.41955,0.0035371056,0.00247793,0.0006858817,0.0024886453,6.586325e-07,4.7768555e-07,2.7713867e-09,6.5736048e-09,3.3653097,3.5173423,3.156113,2.7097178,283.7093,287.7752,295.1684,291.11044,288.3177,293.1396,301.96027,297.11905,279.75674,282.72467,289.07123,286.22614
Como,45.809978,9.08744,0.0020566974,0.004863861,0.0051915897,0.005063223,0.0011917348,0.0011923036,4.1617586e-05,0.00061153143,1.3621541,1.3848331,1.2759129,1.2126225,273.19302,280.8493,291.2187,283.04486,276.7726,285.0038,295.80487,286.79044,269.99564,276.60654,286.61884,279.5956
Constanţa,44.183331,28.65,0.0014387275,0.0014453892,0.0014037297,0.0016932202,0.00054473255,0.000116875235,4.959511e-09,2.8332895e-05,4.291418,3.6793137,3.174359,3.624318,275.41574,284.35413,296.42032,287.0564,278.4752,288.51056,301.3692,291.35272,272.20798,280.23993,291.42343,283.04398
Copenhagen,55.675941,12.56553,0.0015605544,0.0014706878,0.001907794,0.0017356395,0.00042292726,0.00010344641,4.8371547e-09,2.6978949e-05,4.944137,4.449601,4.231588,4.881361,274.68008,280.84662,290.8791,283.6031,276.6612,284.24985,294.89026,286.43414,272.4213,277.04742,286.15887,280.65112
Cork,51.897968,-8.47061,0.003282849,0.0033758641,0.0024711262,0.0037373833,5.403437e-05,2.7230906e-05,6.6640253e-09,5.62478e-07,4.6788783,4.5703096,3.686421,4.313259,279.20096,281.4655,288.69058,284.63028,281.62082,284.97375,292.40112,287.60638,276.6577,277.9309,284.9066,281.63306
Coventry,52.406559,-1.51217,0.0017999458,0.0022660014,0.0021389152,0.0017778358,0.0001570116,0.00011269209,1.13818786e-08,1.1289297e-05,4.662878,4.510312,3.7877536,4.286736,277.37805,281.68573,289.9575,284.59238,280.19373,285.86206,294.98495,288.31546,274.49564,277.51562,284.8711,280.82828
Córdoba,37.883331,-4.76667,0.0020055918,0.0013680251,0.00032396094,0.0019988092,1.0561839e-05,1.8098572e-07,1.5526176e-09,8.2700615e-07,2.5300832,2.6688132,2.2819638,2.1820283,282.0505,288.87576,300.1627,291.92035,287.81674,296.12018,308.80072,298.8429,277.0098,281.5672,291.12738,285.5371
Debrecen,47.533329,21.633329,0.0011902372,0.0017769851,0.0022951744,0.0014187953,0.00030981645,5.4627297e-05,1.0185678e-08,2.2596043e-05,2.7057657,2.8168924,2.4810894,2.4970777,273.30878,284.49326,295.20663,285.38202,276.53763,289.68692,301.28128,290.5478,269.9642,279.0849,289.05768,280.6408
Derby,52.922771,-1.47663,0.0021620505,0.002459018,0.002237651,0.0020455034,0.0002954705,0.0002258912,8.984328e-09,2.3484896e-05,4.7142987,4.556943,3.8343072,4.382825,277.1611,281.22617,289.436,284.19928,279.78152,285.1014,294.12964,287.63397,274.5126,277.37573,284.69135,280.76028
Dijon,47.316669,5.01667,0.0024001705,0.0031323459,0.002225504,0.0025868595,0.00026394406,5.033883e-05,2.029729e-08,4.6202476e-05,3.311595,3.4247088,2.7795205,2.9736495,275.39355,283.69193,293.4131,285.3627,278.32254,288.4302,299.20193,289.79193,272.5049,278.8335,287.56332,281.3526
Donostia / San Sebastián,43.312832,-1.97499,0.0050968924,0.004455592,0.0020799804,0.0035931268,0.0001480521,2.060032e-05,1.2982733e-06,1.0924951e-05,4.611631,4.4431915,3.4275193,3.9500358,281.98782,285.76086,293.58035,289.6886,284.5668,288.77628,296.8697,293.04987,279.5113,282.7579,290.3728,286.6577
Dortmund,51.514938,7.466,0.0029770175,0.0027061107,0.0025257154,0.002648856,0.00052349386,0.00012947549,9.409608e-09,5.9996593e-05,4.0057755,3.6309662,3.2126472,3.7228432,275.7413,282.7281,291.78925,284.74933,277.95825,286.81305,296.7153,288.18585,273.4753,278.55576,286.6756,281.5418
Dresden,51.050892,13.73832,0.0022821242,0.0021713744,0.0028967173,0.0018393034,0.000941556,0.00027316817,1.7881911e-08,0.00011102384,3.573961,3.0835052,2.8058505,3.2042518,273.82108,282.51782,292.48273,283.8081,276.17773,287.20956,297.88843,287.80118,271.3142,277.64877,286.8063,280.00705
Dublin,53.333061,-6.24889,0.0026156595,0.0029327378,0.0021994237,0.00325111,0.00012364212,5.6704368e-05,8.006026e-09,4.4750714e-06,4.766813,4.5253887,3.674755,4.545977,278.73376,281.17618,288.6944,284.47354,281.3267,284.74194,292.70157,287.5954,276.11356,277.66757,284.73468,281.3476
Duisburg,51.432468,6.76516,0.0023507907,0.0023588927,0.002278937,0.002222139,0.00021581513,4.939089e-05,1.1935964e-08,2.4500128e-05,3.9213812,3.6020687,3.184491,3.6363196,276.65158,283.2873,292.26163,285.40387,278.9681,287.4873,297.34628,288.97223,274.3231,279.01758,287.04938,282.07208
Düsseldorf,51.221722,6.77616,0.0024742864,0.0024677622,0.0023900452,0.0022695942,0.00024140341,4.5337252e-05,1.24331425e-08,2.938644e-05,3.9049203,3.5860627,3.14878,3.6285884,276.682,283.58466,292.6273,285.67886,278.9875,287.7576,297.70648,289.2614,274.38928,279.3431,287.44754,282.37183
Eastbourne,50.768711,0.28453,0.0024325664,0.0021296937,0.0017529929,0.0026835385,0.00014132826,2.777197e-05,1.3630695e-10,1.1519902e-05,4.95884,4.650819,3.9178135,4.430358,278.69235,282.53772,290.70456,286.3949,280.84912,285.68896,294.10217,289.1906,276.35217,279.265,287.1148,283.46255
Edinburgh,55.952061,-3.19648,0.0023560172,0.0022979765,0.0020005717,0.002556237,0.00039789497,0.0002472606,7.933104e-09,5.3272728e-05,4.5970645,4.4362235,3.700523,4.526376,276.75867,280.04263,287.71307,283.03128,279.31418,283.62943,291.92328,286.19458,274.09793,276.31506,283.35876,279.83228
