city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Berlin,52.524368,13.41053,18.333333333333332,5.633333333333334,0.0017892795,0.001735804,0.002114097,0.001584656,0.00026637636,4.6275363e-05,1.0211585e-08,4.1234547e-05,3.9641387,3.3840373,3.1505613,3.5422273,276.2051,283.7788,293.36804,284.7526,278.5859,288.33932,298.69684,288.5703,273.73575,279.0524,287.81244,281.11865,4.8501587,9.286926,10.884399,7.45166
Bern,46.94809,7.44744,7.933333333333334,3.9,0.003743211,0.003818373,0.0041274843,0.003591398,0.0016326747,0.00094279274,8.550897e-05,0.00044493427,1.9169828,1.8237698,1.5527688,1.6525747,274.42654,281.71375,291.58545,283.50034,277.09613,286.18808,297.03082,287.41296,271.9111,277.36237,286.2242,280.0837,5.185028,8.825714,10.80661,7.329254
Besançon,47.248779,6.01815,23.866666666666667,7.0,0.0033190192,0.0034462202,0.0028836327,0.0034391524,0.0004221185,0.00014463053,1.5968526e-05,6.582003e-05,3.2099993,2.9566672,2.4442627,2.8019118,276.34122,283.8293,293.5825,285.4726,279.2286,288.67368,299.4642,289.88785,273.59695,279.0825,287.75827,281.57715,5.631653,9.591187,11.705933,8.310699
Bielefeld,52.033329,8.53333,13.066666666666666,5.1,0.0028068915,0.0022688457,0.002554535,0.0024712165,0.00029234667,7.210497e-05,1.2633986e-08,3.1714277e-05,4.2413955,3.565468,3.2032175,3.7414877,276.53024,282.98987,292.01746,284.59708,278.76675,287.29474,297.196,288.29706,274.24796,278.53802,286.7072,281.15808,4.518799,8.756714,10.4888,7.138977
Bilbao,43.262711,-2.92528,19.866666666666667,6.2,0.0036676768,0.003119002,0.0016459187,0.0029550255,0.000115118666,2.4229097e-05,3.6311418e-09,1.4739265e-05,3.1105888,2.8881388,2.205818,2.5973976,280.93698,285.1252,293.17804,288.48297,284.91974,290.16168,299.0915,293.81378,277.14688,280.03793,287.51202,283.66733,7.7728577,10.123749,11.579468,10.146454
Birmingham,52.481419,-1.89983,3.4,2.3,0.002284071,0.0022227974,0.002196514,0.0022836947,0.00017446818,7.0999195e-05,9.098382e-09,9.793004e-06,4.762712,4.368739,3.6681874,4.20928,278.08508,282.2985,290.28287,284.62527,280.8879,286.46332,295.30576,288.2438,275.1874,278.08386,285.176,281.015,5.7005005,8.379456,10.129761,7.2287903
Blackpool,53.816669,-3.05,0.13333333333333333,0.13333333333333333,0.003921781,0.0029016016,0.0028124803,0.004074274,0.000284129,0.000111693655,1.25499495e-08,2.9992989e-05,5.545409,4.793349,4.0965676,4.9845524,278.0348,281.6201,289.10654,284.16602,280.5686,285.18732,293.08075,287.16983,275.38794,277.88174,284.89008,281.04434,5.180664,7.3055725,8.190674,6.1254883
Bochum,51.481651,7.21648,15.833333333333334,5.5,0.00334287,0.0026471629,0.0026738422,0.0028040984,0.0003515372,8.2427134e-05,1.1696591e-08,3.0938678e-05,4.3863473,3.6908643,3.223138,3.832555,277.37894,283.73846,292.74017,285.49823,279.6064,287.8808,297.72293,289.03445,275.1317,279.48834,287.65857,282.2258,4.474701,8.392456,10.064362,6.808655
Bologna,44.493809,11.33875,52.63333333333333,19.233333333333334,0.0021097516,0.0018672887,0.001646258,0.0025376722,0.00038973,6.754782e-05,6.891199e-08,8.121803e-05,2.0349932,2.2881444,1.9943615,1.9995867,277.51312,286.46622,297.80017,288.31625,280.79202,291.21478,303.13828,292.4645,274.67682,281.9297,292.63254,284.67596,6.115204,9.285095,10.505737,7.7885437
Bonn,50.734379,7.09548,18.333333333333332,6.733333333333333,0.002507149,0.0022799254,0.0022823387,0.0021635692,0.00028721374,7.123458e-05,1.0051605e-08,2.256956e-05,4.152535,3.501224,3.0058908,3.6184392,276.97873,283.72662,292.96826,285.4122,279.37405,288.1327,298.29242,289.27255,274.60104,279.24377,287.5877,281.89545,4.7730103,8.888916,10.704712,7.3771057
Bordeaux,44.840439,-0.5805,39.766666666666666,10.366666666666667,0.0028192664,0.0028318025,0.0016179879,0.0025059485,9.140907e-06,2.1546853e-06,4.957288e-09,1.5649239e-06,3.143228,3.2506826,2.6511617,2.806295,280.47397,286.17645,295.03418,288.7449,284.31058,291.23288,300.8374,293.94083,276.95895,281.24826,289.23383,284.1813,7.3516235,9.984619,11.603577,9.7595215
Bournemouth,50.720482,-1.8795,1.1666666666666667,0.9,0.0028265005,0.0023555337,0.0016486256,0.0028084256,4.94302e-05,1.1995897e-05,4.651676e-10,3.0572678e-06,5.439426,4.8265834,4.047886,4.795589,279.1409,282.8043,290.6916,285.60352,281.9545,286.69763,295.2393,289.10513,276.0934,278.78137,285.97327,281.99478,5.861084,7.91626,9.266022,7.1103516
Bradford,53.793911,-1.75206,0.8,0.6,0.0033802395,0.00263038,0.0026395845,0.0030474192,0.00066369504,0.00025859833,1.2252431e-08,5.64274e-05,5.005685,4.4884324,3.8075376,4.4413805,277.59866,281.43423,289.2374,283.96127,280.05817,285.06927,293.56393,287.0024,275.10553,277.78473,284.7947,280.93216,4.9526367,7.284546,8.769226,6.0702515
Braga,41.55032,-8.42005,20.3,7.733333333333333,0.0050828615,0.0031347475,0.0010715999,0.004041091,1.140331e-05,3.6337997e-06,4.6077324e-09,4.0561008e-07,2.8889973,3.0376506,2.7694066,2.5462744,282.244,286.2777,293.371,289.0541,286.65668,291.4635,299.3577,294.40143,278.40317,281.2884,287.61218,284.59427,8.2535095,10.17511,11.745514,9.807159
