city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Braşov,45.648609,25.606131,0.0010279046,0.0001557378,1.3661e-06,0.0006055449,270.95947,280.73016,290.76718,281.22247,0.0016372018,0.0034564214,0.0030447936,0.0017076385,2.1492455,2.2250133,1.8539172,2.0031047,274.33282,267.82755,6.5052795,285.45963,275.86288,9.596741,296.04996,285.3805,10.669464,286.11243,277.06055,9.05188,2.3870967741935485,1.4516129032258065
Breda,51.586559,4.77596,0.00013698344,4.329562e-06,0.0,7.765609e-05,277.4739,283.2569,290.94205,284.5987,0.0022491657,0.0022280943,0.0025642577,0.0024104342,4.6223044,3.8614025,3.4385238,3.9377458,279.6401,275.34238,4.2977295,287.05624,279.25317,7.80307,294.94073,286.59793,8.342804,287.75406,281.5941,6.159973,4.129032258064516,2.193548387096774
Bremen,53.075161,8.80777,0.0002785434,8.0161835e-06,0.0,0.0001199489,276.08252,282.4275,290.72168,283.6364,0.0022195526,0.002236495,0.0025822963,0.002238541,4.2664456,3.6427221,3.2442803,3.7083297,278.08856,274.088,4.0005493,286.31955,278.34064,7.9789124,294.93256,286.239,8.6935425,286.74725,280.64484,6.102417,4.096774193548387,2.129032258064516
Brescia,45.52478,10.22727,0.00041963722,5.782747e-05,5.252615e-07,0.0002349289,276.74875,285.4614,295.47842,286.50406,0.0021639464,0.0036966708,0.003652199,0.0034328436,1.5404869,1.7109252,1.5325652,1.5244952,280.17355,273.9176,6.255951,289.75803,281.09637,8.661652,299.75125,291.24426,8.506989,289.84207,283.5594,6.2826843,15.419354838709678,6.612903225806452
Brest,48.400002,-4.48333,1.2089702e-05,5.383645e-08,0.0,2.9400687e-06,282.2461,283.8974,289.1641,286.94482,0.0033576617,0.0020702416,0.0018642197,0.004017144,7.892629,6.4256363,5.298375,6.5850415,283.3457,281.16367,2.1820374,285.0767,282.66043,2.4162598,290.2939,287.95956,2.3343506,288.046,285.82648,2.219513,0.0,0.0
Brighton,50.828381,-0.13947,7.099682e-05,3.1878872e-06,0.0,2.3443532e-05,279.73758,282.71268,289.5142,285.87692,0.0023259425,0.0018008492,0.0020707962,0.003271319,6.8008504,5.4804726,4.865122,5.9831896,281.33038,278.11618,3.214203,284.80014,280.47894,4.3211975,291.67447,287.17728,4.4971924,287.73764,283.90314,3.8345032,0.0,0.0
Bristol,51.455231,-2.59665,0.00010842192,7.341839e-06,0.0,3.3478584e-05,278.76587,282.5802,289.39645,284.54382,0.0022748644,0.0022508695,0.0022939097,0.0027590916,4.802419,4.1979933,3.7636528,4.2076917,281.11014,276.39465,4.7154846,286.0295,279.02396,7.005554,293.0014,285.59985,7.4015503,287.527,281.54034,5.986664,0.5161290322580645,0.4193548387096774
Brno,49.195221,16.60796,0.00047796677,2.8819006e-05,3.5250058e-09,0.0002695947,273.4805,282.885,292.6262,282.98593,0.0013257419,0.0022887134,0.0026902282,0.0014785252,3.4379334,3.3918726,2.8591866,3.1990757,275.83197,271.12512,4.706848,287.22305,278.32953,8.893524,297.5124,287.48514,10.027252,286.49283,279.69235,6.800476,10.806451612903226,4.32258064516129
Brugge,51.20892,3.22424,0.00010320933,2.2844886e-06,0.0,4.948624e-05,278.43622,283.06473,290.6136,285.52234,0.0022238886,0.0020244191,0.0025466066,0.0028207898,5.9461894,4.8868,4.4217873,5.209759,280.15192,276.73868,3.4132385,285.6959,280.33054,5.3653564,293.36935,287.68378,5.6855774,287.79816,283.32968,4.4684753,0.4516129032258064,0.3548387096774194
Brussels,50.850449,4.34878,0.00015876467,3.5658638e-06,0.0,8.3346524e-05,277.4134,283.30862,291.00778,284.57413,0.0022667672,0.0021969643,0.0024203113,0.0023619598,4.5903087,3.7978854,3.3490782,3.9288042,279.60812,275.29126,4.316864,287.1784,279.2701,7.9082947,295.13885,286.5733,8.565552,287.80524,281.5493,6.255951,4.419354838709677,2.2580645161290325
Bucharest,44.432251,26.10626,0.00055789464,9.587055e-06,0.0,0.0002346614,274.22314,285.57166,296.68008,285.8205,0.0014620052,0.0022484078,0.0019012061,0.0016418772,2.8844047,2.9046087,2.4021156,2.681989,277.69495,271.06232,6.6326294,290.7031,280.3528,10.350281,302.34082,290.85043,11.490387,290.75406,281.4092,9.344849,45.096774193548384,12.709677419354838
