city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Alcalá de Henares,40.482052,-3.35996,0.00014480352,8.65327e-06,3.973643e-09,7.704761e-05,278.43567,284.0134,295.04645,286.51062,281.04977,274.89215,290.3746,278.21274,298.3431,290.4878,294.98453,279.16217,0.0018504619,0.0018858884,0.0009787347,0.0018857479,2.7302582,2.7316945,2.5056355,2.3732212
Thessaloníki,40.640282,22.94389,0.00026887158,1.1990468e-06,0.0,0.00013374389,279.52307,286.9929,296.9141,288.54456,283.4366,277.33197,292.65002,280.76282,298.62976,294.44385,295.99866,280.6514,0.002438565,0.00193277,0.0015587211,0.002369382,2.4470773,2.3393614,2.2695246,2.287488
Salerno,40.677971,14.76599,8.269151e-05,7.914172e-07,0.0,4.6767127e-05,282.7127,286.06766,294.76056,289.28625,284.48697,280.93677,290.49008,281.03256,297.67783,292.00073,294.96826,284.01004,0.0046215453,0.0024257393,0.0021102217,0.005235166,3.7749557,3.1737905,2.4463685,3.2190063
Napoli,40.833328,14.25,4.6102206e-05,1.1377865e-06,0.0,2.8573142e-05,283.00256,286.31104,294.99988,289.53732,284.77896,281.3082,290.45914,281.4634,297.9485,292.20596,295.1691,284.29355,0.0043691713,0.0022847971,0.0021164098,0.00502122,3.8327634,3.2107813,2.4930391,3.2172072
Salamanca,40.968819,-5.66388,0.00022672149,2.2450422e-05,1.0331472e-07,9.456078e-05,277.70215,282.44235,292.24942,284.97375,280.08575,274.05734,288.51474,277.43817,295.41992,287.4686,292.46207,278.05185,0.0019804053,0.0018379582,0.0008125623,0.0017139886,3.3652647,3.0640175,2.6068861,2.697583
Bari,41.117729,16.851179,3.0097366e-05,1.5894573e-08,0.0,8.634726e-06,283.3964,287.16257,296.20334,290.06497,284.91135,281.4572,291.65198,282.16055,299.27344,293.9348,295.98413,284.49503,0.002420819,0.0013579945,0.0012905359,0.0022902489,4.79834,4.3788853,3.7240357,4.235422
Porto,41.149609,-8.61099,8.953611e-06,2.587835e-07,0.0,2.1537146e-06,282.7778,285.4089,291.62216,288.1528,284.40854,280.14682,288.7213,282.6653,293.6173,288.13196,293.73376,283.2847,0.006263,0.003109928,0.0012571573,0.0047501544,4.4919176,4.1302595,3.8395529,3.6866646
Tirana,41.327499,19.81889,0.00058752,3.872017e-05,3.799796e-07,0.00025814076,278.75494,285.0778,294.0197,286.8625,281.98593,276.40863,290.4275,278.7875,296.53442,291.84033,293.51233,279.73135,0.0043349466,0.0034128467,0.002476732,0.004981796,2.5289752,2.108958,1.8619187,2.1850965
Barcelona,41.38879,2.15899,3.0427178e-05,3.8102269e-06,0.0,1.5625357e-05,282.34732,285.4691,294.17053,289.0125,283.93527,280.64462,289.1084,281.56363,296.74377,291.18787,294.79968,283.51266,0.0017405172,0.0025342286,0.0028685809,0.0023025235,3.7094913,3.3849947,2.836827,3.2097852
Braga,41.55032,-8.42005,0.00010495385,4.3352443e-06,0.0,1.766483e-05,280.56863,283.92026,291.0509,286.51694,282.3326,277.6793,287.8246,280.7816,293.7566,286.063,292.74915,280.6265,0.006894388,0.0035523137,0.0016539296,0.0051608365,3.1877673,2.9378293,2.6328049,2.6540713
